date,address_original,address_corrected,lat,lon,filepath
,"Corso Corsica, 24, 10134 Torino TO",,45.0464802,7.6458849,
,"Via Cesare Battisti, 7 F, 10123 Torino TO",,45.0519492,7.6465560,
,"Corso Guglielmo Marconi, 23/A, 10125 Torino TO",,45.1101027,7.6607983,
,"Via Andrea Mensa, 37, 10078 Venaria Reale TO",,45.0174926,7.6299507,
,"Piazza Bengasi, 17/a, 10024 Moncalieri TO",,45.0747632,7.5700419,
,"Via Po, 35/B, 10124 Torino TO",,45.0725840,7.7118511,
,"P.za Carlo Emanuele II, 21, 10123 Torino TO",,45.0653688,7.6771195,
,"Via Tripoli, 26, 10136 Torino TO",,45.0670299,7.6922169,
,"Via Genova, 101/E, 10126 Torino TO",,45.0715235,7.5430362,
,"Corso Traiano, 93, 10135 Torino TO",,45.0997617,7.6443443,
,"C.so Inghilterra, 31/A, 10138 Torino TO",,45.0708308,7.6816596,
,"Via Luigi Salvatore Cherubini, 53, 10154 Torino TO",,45.0749245,7.7256526,
,"Corso Regio Parco, 28 A, 10153 Torino TO",,45.0932260,7.6780089,
,"Via Giambattista Bodoni, 1G, 10123 Torino TO",,45.0765795,7.6709931,
,"Via Bernardino Luini, 100, 10149 Torino TO",,45.0954999,7.6788769,
,"Corso Sebastopoli, 214, 10136 Torino TO",,45.0777638,7.5723897,
,"Via Madama Cristina, 121, 10126 Torino TO",,45.0408247,7.6291100,
,"P.za Santa Rita da Cascia, 6/a, 10136 Torino TO",,45.1019550,7.6758413,
,"Via Tripoli, 33, 10136 Torino TO",,45.0644100,7.6208305,
,"Via Lanzo, 187, 10148 Torino TO",,45.1009747,7.6991488,
,"Corso Unione Sovietica, 527, 10135 Torino TO",,45.0679479,7.6365024,
,"Via Giuseppe Verdi, 3, 10093 Collegno TO",,45.0903519,7.6923148,
,"Corso Belgio, 48, 10153 Torino TO",,45.0778932,7.5744229,
,"Corso Giacomo Matteotti, 5, 10121 Torino TO",,45.0579703,7.6838741,
,"Via Po, 43, 10124 Torino TO",,45.0379672,7.6395700,
,"C.so Francia, 125, 10098 Rivoli TO",,,,
,"Corso Lucio Quinzio Cincinnato, 164/B, 10151 Torino TO",,45.0407642,7.6703824,
,"Via S. Tommaso, 12/E, 10122 Torino TO",,45.0643202,7.6494350,
,"Corso Belgio, 176, 10153 Torino TO",,45.0587367,7.6583282,
,"Via Chiesa della Salute, 12, 10147 Torino TO",,45.0370187,7.6525266,
,"Piazza Statuto, 14, 10122 Torino TO",,45.0802254,7.6596664,
,"Via Chiesa della Salute, 21, 10147 Torino TO",,45.0728357,7.5799307,
,"Piazza della Repubblica, 39/b, 10093 Collegno TO",,44.9945109,7.6463261,
,"Via Guido Reni, 205, 10137 Torino TO",,45.0806818,7.6478522,
,"Via Michele Coppino, 116, 10147 Torino TO",,45.0753758,7.6449374,
,"Via Monginevro, 249, 10142 Torino TO",,45.0728366,7.5995136,
,"P.za Derna, 207, 10155 Torino TO",,45.0002028,7.6533747,
,"Via Candido Viberti, 11/B, 10141 Torino TO",,45.0716437,7.6110304,
,"C.so Giulio Cesare, 97A, 10155 Torino TO",,45.0232560,7.6636188,
,"Viale XXIV Maggio, 5, 10093 Collegno TO",,45.0581743,7.6551218,
,"Via Claudio Luigi Berthollet, 30, 10125 Torino TO",,45.0528292,7.6548128,
,"Via Buenos Aires, 78/i, 10137 Torino TO",,45.0216841,7.6632885,
,"Piazza Gaspare Barile, 6, 10042 Nichelino TO",,45.0652734,7.6936473,
,"Via Nizza, 142, 10126 Torino TO",,45.0708970,7.6966834,
,"P.za Sabotino, 1, 10139 Torino TO",,45.0645571,7.6432735,
,"Via Cristoforo Colombo, 59a, 10129 Torino TO",,45.0847289,7.6305868,
,"Via Arnaldo da Brescia, 23b, 10134 Torino TO",,45.0755670,7.6637968,
,"Via Luigi Cibrario, 50, 10144 Torino TO",,45.0428697,7.6721030,
,"C.so Francia, 100, 10093 Collegno TO",,45.0667263,7.6811504,
,"Via Torino, 149, 10042 Nichelino TO",,45.0721558,7.7093313,
,"Via Nicola Fabrizi, 53, 10143 Torino TO",,45.0694008,7.6952787,
,"C.so Francia, 151, 10138 Torino TO",,45.0782881,7.6835940,
,"Corso Montello, 25A, 10093 Collegno TO",,45.0741769,7.6348973,
,"Via Torino, 93, 10042 Nichelino TO",,45.0611055,7.6454974,
,"Via Anastasio Germonio, 28/b, 10142 Torino TO",,45.1523031,7.6599665,
,"Via Nizza, 340, 10127 Torino TO",,45.0848634,7.6597543,
,"Corso Lione, 40/a, 10141 Torino TO",,45.0624079,7.6853044,
,"Largo Orbassano, 62/B, 10129 Torino TO",,45.0693633,7.6950666,
,"Via Nizza, 361/D, 10127 Torino TO",,45.0452978,7.6721355,
,"P.za Vittorio Veneto, 8, 10124 Torino TO",,45.0667122,7.6515195,
,"Via Santa Giulia, 32/F, 10124 Torino TO",,45.0762858,7.6427905,
,"Via Monginevro, 74/b, 10141 Torino TO",,45.0703009,7.6437075,
,"Corso Bernardino Telesio, 92/B, 10146 Torino TO",,45.0730662,7.6623188,
,"Via Principi d'Acaja, 16, 10138 Torino TO",,45.0672905,7.6912545,
,"Corso Bramante, 65g, 10126 Torino TO",,45.0613244,7.6751290,
,"Piazza C.L.N., 248, 10121 Torino TO",,45.0668582,7.6704477,
,"Corso Belgio, 34, 10153 Torino TO",,45.0739237,7.6816868,
,"Corso S. Maurizio, 49/A, 10124 Torino TO",,,,
,"Via Goffredo Mameli, 6, 10152 Torino TO",,45.0712614,7.6944701,
,"Corso Monte Cucco, 14, 10100 Torino TO",,45.0684164,7.6895141,
,"P.za Generale Carlo di Robilant, 1, 10141 Torino TO",,45.0730983,7.6818395,
,"Via Antonio Gramsci, 3, 10121 Torino TO",,45.0701220,7.6856669,
,"Corso Regina Margherita, 264/B, 10144 Torino TO",,45.0733906,7.6787260,
,"Via Giuseppe Mazzini, 22, 10123 Torino TO",,45.0696410,7.6819502,
,"Via Sant'Ottavio, 10124 Torino TO",,45.0765709,7.6811316,
,"Via Nizza, 92, 10126 Torino TO",,45.0720593,7.6843407,
,"Via Vigone, 31, 10138 Torino TO",,45.0688613,7.6888747,
,"Via Domodossola, 1/e, 10145 Torino TO",,45.0684190,7.6895223,
,"Via Fréjus, 93/E, 10139 Torino TO",,45.0687179,7.6822049,
,"Via Principi d'Acaja, 47, 10138 Torino TO",,45.0431947,7.6406464,
,"Via Po, 28, 10123 Torino TO",,45.1334650,7.6314896,
,"Corso Stati Uniti, 6/c, 10128 Torino TO",,45.0712755,7.6844250,
,"Via S. Quintino, 31, 10121 Torino TO",,45.0606459,7.3835344,
,"Via Milano, 7, 10122 Torino TO",,45.0870108,7.6682037,
,"Via Nicola Fabrizi, 37, C, 10143 Torino TO",,45.0313476,7.6654614,
,"Via Montebello, 10124 Torino TO",,45.0770685,7.6834372,
,"Via Po, 18b, 10123 Torino TO",,,,
,"Piazza Palazzo di Città, 7c, 10122 Torino TO",,,,
,"P.za Castello, 54, 10122 Torino TO",,,,
,"Via Giuseppe Garibaldi, 31, 10122 Torino TO",,,,
,"V. Antonio Bertola, 5, 10121 Torino TO",,,,
,"Piazza Emanuele Filiberto, 8/E, 10122 Torino TO",,,,
,"Via Palazzo di Città, 7B, 10122 Torino TO",,,,
,"Via Po, 14, 10123 Torino TO",,,,
,"Via Po, 18, 10123 Torino TO",,,,
,"Via Santa Teresa, 6/B, 10121 Torino TO",,,,
,"C.so Orbassano, 203, 10137 Torino TO",,,,
,"Via Andrea Mensa, 27 d, 10078 Venaria Reale TO",,,,
,"P.za Castello, 153, 10122 Torino TO",,,,
,"Via Monginevro, 23, A, 10138 Torino TO",,,,
,"Via Treviso, 24, 10144 Torino TO",,,,
,"Via Nizza, 262, 10126 Torino TO",,,,
,"Piazza della Repubblica, 25, 10152 Torino TO",,,,
